time,x,y,z,roll,pitch,yaw
1638729805.3547142,,,,,,
1638729805.4144297,,,,,,
1638729805.4785173,0.6180246799346916,-0.018439393435139798,0.5942672924837648,14.948523228762582,47.4880662738699,76.38481076238934
1638729805.53657,,,,,,
1638729805.5981271,,,,,,
1638729805.657401,0.551057817106027,0.005996166350372159,0.5228607316375645,14.943188393162785,46.98435563096742,76.28031818686067
1638729805.717499,0.5149365822773853,0.00823200707528405,0.5434640650207587,13.822815083444027,44.35369324287733,77.19649027648413
1638729805.779561,0.48333305200722165,0.002416050528614426,0.5509822391786509,12.152334941243112,42.56043140073876,78.13646520502535
1638729805.836954,0.4755214087708548,0.0019150545691226026,0.5205698143024491,11.577469635141455,43.708206788815446,78.67062244501908
1638729805.9015172,0.46282567895801613,0.0018118670826744246,0.49254376793257354,10.48905776895981,44.273236566664956,79.9322012681932
1638729805.9587336,0.4378360567279938,0.013458336301491389,0.4942035707867105,11.5049655930288,42.311274152505455,79.49886453207027
1638729806.0176878,0.4150472682207159,0.028898304999459654,0.4921714424046769,14.041807256273074,40.97230463697433,77.61807652139478
1638729806.0763927,0.39156009497596955,0.000216920218190704,0.5020420133947666,9.486816352918993,39.851802348963226,80.76775226316126
1638729806.1371784,0.34396575073079166,-0.0011329898496624177,0.5090508584216721,9.424783009534877,36.245178307778836,80.56069863161454
1638729806.1955233,,,,,,
1638729806.253462,,,,,,
1638729806.314407,,,,,,
1638729806.3755229,,,,,,
1638729806.4385567,,,,,,
1638729806.501976,,,,,,
1638729806.555754,,,,,,
1638729806.6136608,,,,,,
1638729806.676279,,,,,,
1638729806.729658,,,,,,
1638729806.7914608,,,,,,
1638729806.8548493,,,,,,
1638729806.9100866,,,,,,
1638729806.967916,,,,,,
1638729807.0300953,,,,,,
1638729807.0936608,,,,,,
1638729807.1487296,,,,,,
1638729807.2161713,,,,,,
1638729807.2697783,,,,,,
1638729807.330126,,,,,,
1638729807.3920937,,,,,,
1638729807.4485178,,,,,,
